frame_id,filename,ts_iso,ts,width,height,leaf_coverage_pct,exg_mean,vari_mean,cive_mean,sharpness_laplacian,fruit_count,ripe,unripe,stains_area_pct,stains_method,malformed,frame_idx,ripe_pct
Mision_Prueba__photo_73_2025-11-11_22-53-05,photo_73_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,43.73478190104167,0.13643771409988403,-0.7104318737983704,18.742292404174805,6056.785332764383,117,0,117,2.9983723958333335,lab_threshold_v0.1,399,73,0.0
Mision_Prueba__photo_74_2025-11-11_22-53-05,photo_74_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,92.91471354166667,0.2484491467475891,1.3743369579315186,18.696456909179688,7079.8084342208695,74,0,74,10.748697916666666,lab_threshold_v0.1,465,74,0.0
Mision_Prueba__photo_75_2025-11-11_22-53-05,photo_75_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,53.905110677083336,0.10423707216978073,0.9114091992378235,18.75577735900879,21058.61617808341,224,0,224,3.8668619791666665,lab_threshold_v0.1,12,75,0.0
Mision_Prueba__photo_76_2025-11-11_22-53-05,photo_76_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,60.005289713541664,0.16156867146492004,46.12162780761719,18.731664657592773,4104.730159480282,73,0,73,6.142333984375,lab_threshold_v0.1,277,76,0.0
Mision_Prueba__photo_77_2025-11-11_22-53-05,photo_77_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,46.008951822916664,0.11490879207849503,8.418222427368164,18.751014709472656,20753.62942375945,94,1,93,3.2027180989583335,lab_threshold_v0.1,190,77,1.0638297872340425
Mision_Prueba__photo_78_2025-11-11_22-53-05,photo_78_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,48.17195638020833,0.0963868647813797,34.98448181152344,18.757905960083008,20016.905878158006,127,0,127,4.319986979166667,lab_threshold_v0.1,200,78,0.0
Mision_Prueba__photo_79_2025-11-11_22-53-05,photo_79_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,5.148111979166667,0.08509572595357895,6.158513069152832,18.761516571044922,9213.644367116893,39,0,39,0.3709309895833333,lab_threshold_v0.1,33,79,0.0
Mision_Prueba__photo_7_2025-11-11_22-53-05,photo_7_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,54.58504231770833,0.14020779728889465,1.993970513343811,18.739810943603516,4082.3155079606136,155,0,155,5.939453125,lab_threshold_v0.1,211,80,0.0
Mision_Prueba__photo_80_2025-11-11_22-53-05,photo_80_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,18.745198567708332,0.13295044004917145,0.34299182891845703,18.743671417236328,16942.379251472965,255,0,255,1.3504231770833333,lab_threshold_v0.1,104,81,0.0
Mision_Prueba__photo_81_2025-11-11_22-53-05,photo_81_2025-11-11_22-53-05,2025-11-11T22:53:05-0500,2025-11-12 03:53:05+00:00,1280,960,29.089925130208332,0.11461056023836136,1.169490098953247,18.750730514526367,20848.77003105858,223,0,223,1.522705078125,lab_threshold_v0.1,205,82,0.0
